rule_id,clause_type,normalized_value,value_type,raw_value,unit,confidence,operational_or_requirement,source_snippet,source_snippet_hash,source_section,detected_by_pass,high_value,source_file,source_family,artifact_type,extraction_mode,has_table_data,quality_notes
R-0001,requires_police_report,True,boolean,1. The Covered Person’s Transportation and Related Costs to the Nearest Place of Safety necessary to,,HIGH,requirement,"1. The Covered Person’s Transportation and Related Costs to the Nearest Place of Safety necessary to ensure his
or her safety and well-being as determined by the Designated Security Consultant.
13
2. ",974cd8a2cbe81560,Benefits will be paid for:,documentation-requirements-pass,False,2025-2026-umass-international-travel-insurance-brochure.pdf,insurance,PDF,native_pdf,True,Document contains table data
R-0002,personal_effects_coverage_limit,10000.0,currency,"$10,000",USD,HIGH,operational,"4. Benefit Maximum Repatriation of Remains | $10,000
$500
20 days
$500
[TABLE ROW p4] Trip Cancellation & Interruption Benefits
[TABLE ROW p4] Benefit Maximum | $1,500 Each
[TABLE ROW p4] Trip Delay
[",b6ddb0c20a60d01b,3. Maximum Number of Days,rental-car-pass,True,2025-2026-umass-international-travel-insurance-brochure.pdf,insurance,PDF,native_pdf,True,Document contains table data
R-0003,cruise_cancellation_window,20,days,20 days,days,HIGH,operational,"4. Benefit Maximum Repatriation of Remains | $10,000
$500
20 days
$500
[TABLE ROW p4] Trip Cancellation & Interruption Benefits
[TABLE ROW p4] Benefit Maximum | $1,500 Each
[TABLE ROW p4] Trip Delay
[",495cc471e1636d87,3. Maximum Number of Days,cruise-booking-pass,True,2025-2026-umass-international-travel-insurance-brochure.pdf,insurance,PDF,native_pdf,True,Document contains table data
R-0004,trip_delay_threshold,72,duration,72 hours,hours,HIGH,operational,"...be cancelled. Reservations made less than 30 days before departure must be ticketed
within 72 hours after bookings are made or reservations will be cancelled.",18559e7722709aea,7. Advance reservations must be ticketed no later than 30 days before departure or reservations,delay-threshold-pass,True,2026 amex _Platinum_TermsandConditions.pdf,credit_card,PDF,native_pdf,False,
R-0005,hotel_cancellation_window,72,duration,72 hours,hours,HIGH,operational,"will be cancelled. Reservations made less than 30 days before departure must be ticketed
within 72 hours after bookings are made or reservations will be cancelled.",8bc3830b19be6a3c,7. Advance reservations must be ticketed no later than 30 days before departure or reservations,refund-cancellation-pass,True,2026 amex _Platinum_TermsandConditions.pdf,credit_card,PDF,native_pdf,False,
R-0006,requires_medical_certificate,True,boolean,"Supplementary Card Members of The Platinum Card® issued by American Express
International Inc. in Si",,HIGH,requirement,"Supplementary Card Members of The Platinum Card® issued by American Express
International Inc. in Singapore (“Eligible Platinum Members”).
3. Eligible Platinum Members will be required to submit their",6461e03ff165d731,2. The complimentary Pan Pacific DISCOVERY Platinum membership is valid for Basic and,documentation-requirements-pass,False,2026 amex _Platinum_TermsandConditions.pdf,credit_card,PDF,native_pdf,False,
R-0007,medical_emergency_coverage_limit,10000.0,currency,"$10,000",USD,HIGH,operational,"membership to be eligible for the offer and receive a unique promo code.
7. The complimentary upgrade to the Prestige tier remains valid for a duration of 6 months.
Within this period, the Eligible Ca",85e8222d31f64a76,6. Eligible Card Member must register their interest for the Paragon Club Prestige tier,medical-insurance-pass,True,2026 amex _Platinum_TermsandConditions.pdf,credit_card,PDF,native_pdf,False,
R-0008,dental_emergency_limit,10000.0,currency,"$10,000",USD,HIGH,operational,"membership to be eligible for the offer and receive a unique promo code.
7. The complimentary upgrade to the Prestige tier remains valid for a duration of 6 months.
Within this period, the Eligible Ca",543d8c759592add5,6. Eligible Card Member must register their interest for the Paragon Club Prestige tier,medical-insurance-pass,True,2026 amex _Platinum_TermsandConditions.pdf,credit_card,PDF,native_pdf,False,
R-0009,personal_accident_coverage_limit,100.0,currency,$100,USD,HIGH,operational,"fares) are subject to change without notice.
Airline Credit
1. Amount of Statement Credits: The amount of statement credits for this Platinum Card
Benefit is capped at S$100 every six (6) months, up t",1cc257e914f113fe,Express Travel Online and paid with The Platinum Card. Airline partners and benefits (including,rental-car-pass,True,2026 amex _Platinum_TermsandConditions.pdf,credit_card,PDF,native_pdf,False,
R-0010,rental_car_damage_limit,10000.0,currency,"$10,000",USD,HIGH,operational,"membership to be eligible for the offer and receive a unique promo code.
7. The complimentary upgrade to the Prestige tier remains valid for a duration of 6 months.
Within this period, the Eligible Ca",6e739ea678a94073,6. Eligible Card Member must register their interest for the Paragon Club Prestige tier,rental-car-pass,True,2026 amex _Platinum_TermsandConditions.pdf,credit_card,PDF,native_pdf,False,
